timestamp,city,ip,fqdn,site,upload,download
2018-02-08T00:01:08Z,Prague,77.67.114.139,ndt.iupui.mlab1.prg04.measurement-lab.org,prg04,0,0
2018-02-08T01:00:32Z,Chicago_IL,173.205.3.203,ndt.iupui.mlab1.ord04.measurement-lab.org,ord04,4.5,14.12
2018-02-08T01:01:06Z,London,80.239.170.203,ndt.iupui.mlab1.lhr02.measurement-lab.org,lhr02,1.54,0.99703
2018-02-08T02:00:33Z,Chicago_IL,38.65.210.203,ndt.iupui.mlab1.ord02.measurement-lab.org,ord02,5.27,91.28
2018-02-08T02:01:11Z,Seattle_WA,4.71.157.139,ndt.iupui.mlab1.sea04.measurement-lab.org,sea04,2.75,77.89
2018-02-08T03:00:33Z,Chicago_IL,128.177.163.11,ndt.iupui.mlab1.ord05.measurement-lab.org,ord05,11.62,83.68
2018-02-08T03:01:07Z,Calgary,65.49.72.203,ndt.iupui.mlab1.yyc02.measurement-lab.org,yyc02,0,0
2018-02-08T04:00:33Z,Chicago_IL,66.198.24.75,ndt.iupui.mlab1.ord03.measurement-lab.org,ord03,11.9,75.09
2018-02-08T04:01:09Z,Lisbon,195.89.147.152,ndt.iupui.mlab2.lis02.measurement-lab.org,lis02,10.97,62.18
2018-02-08T05:00:33Z,Chicago_IL,38.65.210.203,ndt.iupui.mlab1.ord02.measurement-lab.org,ord02,11.9,91.59
2018-02-08T05:01:07Z,Atlanta_GA,70.42.177.75,ndt.iupui.mlab1.atl06.measurement-lab.org,atl06,11.8,88.26
2018-02-08T06:00:33Z,Chicago_IL,66.198.24.75,ndt.iupui.mlab1.ord03.measurement-lab.org,ord03,11.91,88.99
2018-02-08T06:01:10Z,Chicago_IL,173.205.3.203,ndt.iupui.mlab1.ord04.measurement-lab.org,ord04,11.96,42.47
2018-02-08T07:00:33Z,Chicago_IL,4.71.251.147,ndt.iupui.mlab1.ord01.measurement-lab.org,ord01,11.92,91.98
2018-02-08T07:01:11Z,Dallas_TX,128.177.163.75,ndt.iupui.mlab1.dfw05.measurement-lab.org,dfw05,11.71,86.24
2018-02-08T08:00:33Z,Chicago_IL,173.205.3.203,ndt.iupui.mlab1.ord04.measurement-lab.org,ord04,11.93,92.48
2018-02-08T08:01:06Z,Seattle_WA,64.74.15.203,ndt.iupui.mlab1.sea06.measurement-lab.org,sea06,11.62,79.09
2018-02-08T09:00:33Z,Chicago_IL,66.198.24.75,ndt.iupui.mlab1.ord03.measurement-lab.org,ord03,11.91,91.94
2018-02-08T09:01:07Z,Washington_DC,173.205.4.11,ndt.iupui.mlab1.iad04.measurement-lab.org,iad04,11.84,89.64
2018-02-08T10:00:33Z,Chicago_IL,38.65.210.203,ndt.iupui.mlab1.ord02.measurement-lab.org,ord02,11.91,92.22
2018-02-08T10:01:11Z,Seattle_WA,4.71.157.139,ndt.iupui.mlab1.sea04.measurement-lab.org,sea04,11.62,84.6
2018-02-08T11:00:33Z,Chicago_IL,128.177.163.11,ndt.iupui.mlab1.ord05.measurement-lab.org,ord05,11.74,92
2018-02-08T11:01:08Z,Larnaca,82.116.199.11,ndt.iupui.mlab1.lca01.measurement-lab.org,lca01,8.86,38.07
2018-02-08T12:00:33Z,Chicago_IL,173.205.3.203,ndt.iupui.mlab1.ord04.measurement-lab.org,ord04,11.91,92.26
2018-02-08T12:01:06Z,Larnaca,82.116.199.11,ndt.iupui.mlab1.lca01.measurement-lab.org,lca01,0,0
2018-02-08T13:00:33Z,Chicago_IL,128.177.163.11,ndt.iupui.mlab1.ord05.measurement-lab.org,ord05,11.74,88.03
2018-02-08T13:01:07Z,Brussels,195.89.146.152,ndt.iupui.mlab2.bru01.measurement-lab.org,bru01,11.22,77.86
2018-02-08T14:00:33Z,Chicago_IL,173.205.3.203,ndt.iupui.mlab1.ord04.measurement-lab.org,ord04,11.91,91.89
2018-02-08T14:01:06Z,Los Angeles_CA,38.98.51.20,ndt.iupui.mlab1.lax01.measurement-lab.org,lax01,11.41,74.12
2018-02-08T15:00:33Z,Chicago_IL,66.198.24.75,ndt.iupui.mlab1.ord03.measurement-lab.org,ord03,11.9,91.59
2018-02-08T15:01:11Z,Vancouver,184.105.70.203,ndt.iupui.mlab1.yvr01.measurement-lab.org,yvr01,0,0
2018-02-08T16:00:33Z,Chicago_IL,4.71.251.147,ndt.iupui.mlab1.ord01.measurement-lab.org,ord01,11.93,91.91
2018-02-08T16:01:06Z,Seattle_WA,4.71.157.139,ndt.iupui.mlab1.sea04.measurement-lab.org,sea04,11.62,84.15
